timestamp_unix,date_str,symbol,open,high,low,close,volume,volumeUsd
1577775600.0,2019-12-31 07-AM,BTCUSD,7264.8,7268.6,7251.5,7268.6,239.59,1740765.12
1577772000.0,2019-12-31 06-AM,BTCUSD,7275.7,7275.7,7264.7,7264.8,21.67,157495.93
1577768400.0,2019-12-31 05-AM,BTCUSD,7265.9,7276.5,7262.5,7275.7,28.62,207988.11
1577764800.0,2019-12-31 04-AM,BTCUSD,7248.94,7272.6,7240.98,7265.9,158.2,1147337.45
1577761200.0,2019-12-31 03-AM,BTCUSD,7254.9,7261.2,7236.6,7248.94,198.88,1441112.26
1577757600.0,2019-12-31 02-AM,BTCUSD,7274.3,7275,7247.8,7254.9,62.39,452803.49
1577754000.0,2019-12-31 01-AM,BTCUSD,7259.9,7276.2,7259.8,7274.3,27.99,203345.84
1577750400.0,2019-12-31 12-AM,BTCUSD,7260.9,7261,7215.9,7259.9,119.25,862670.82
1577746800.0,2019-12-30 11-PM,BTCUSD,7293.94,7297.6,7260.8,7260.9,74.61,542975.46
1577743200.0,2019-12-30 10-PM,BTCUSD,7280,7294.3,7279.9,7293.94,21.05,153337.6
1577739600.0,2019-12-30 09-PM,BTCUSD,7285,7294.4,7272,7280,73.82,537702.4
1577736000.0,2019-12-30 08-PM,BTCUSD,7257.5,7294.3,7249,7285,96.08,699391.25
1577732400.0,2019-12-30 07-PM,BTCUSD,7272.15,7272.15,7257.5,7257.5,94.34,685333.99
1577728800.0,2019-12-30 06-PM,BTCUSD,7274.76,7290.3,7272.1,7272.15,673.99,4905812.56
1577725200.0,2019-12-30 05-PM,BTCUSD,7272.4,7274.8,7251.2,7274.76,74.74,542691.35
1577721600.0,2019-12-30 04-PM,BTCUSD,7273.5,7277.5,7242.4,7272.4,220.39,1600408.92
1577718000.0,2019-12-30 03-PM,BTCUSD,7323.5,7323.5,7201.29,7273.5,1356.64,9859514.89
1577714400.0,2019-12-30 02-PM,BTCUSD,7345.34,7351.1,7321.46,7323.5,64.57,473564.81
1577710800.0,2019-12-30 01-PM,BTCUSD,7328.3,7360.2,7307.6,7345.34,99.6,731046.42
1577707200.0,2019-12-30 12-PM,BTCUSD,7335.9,7351.1,7323.9,7328.3,73.22,537243.35
1577703600.0,2019-12-30 11-AM,BTCUSD,7332.8,7340.4,7326.8,7335.9,154.76,1135320.46
1577700000.0,2019-12-30 10-AM,BTCUSD,7355.09,7367.9,7301.3,7332.8,316.87,2322884.59
1577696400.0,2019-12-30 09-AM,BTCUSD,7391.01,7394.2,7355,7355.09,100.07,737816.96
1577692800.0,2019-12-30 08-AM,BTCUSD,7408.38,7408.38,7371,7391.01,108.25,798917.44
1577689200.0,2019-12-30 07-AM,BTCUSD,7404.5,7421.7,7404.4,7408.38,46.75,346576.98
